Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-17867900057,03/01/2019,3477,SAM'S CLUB 6472 / COUNCIL BLUFFS,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78,POTTAWATTAMIE,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10808,CROWN ROYAL REGAL APPLE,12,1000,18.89,28.34,12,340.08,12,3.17
INV-18123400162,03/13/2019,2625,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,,82,SCOTT,1042100,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28867,TANQUERAY GIN,12,1000,15.5,23.25,24,558,24,6.34
INV-18068600008,03/12/2019,4161,FAREWAY STORES #950 / IOWA CITY,2530 WESTWINDS DR,IOWA CITY,52246,POINT (-91.575636 41.650842),52,JOHNSON,1012100,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,3,30.39,2.25,0.59
INV-18072700012,03/12/2019,2605,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,POINT (-91.668909 42.034799),57,LINN,1031100,AMERICAN VODKAS,205,E & J GALLO WINERY,36968,NEW AMSTERDAM 80PRF,24,375,3.5,5.25,6,31.5,2.25,0.59
INV-17949800002,03/06/2019,5476,ELDRIDGE MART,209 E LECLAIRE RD,ELDRIDGE,52748,POINT (-90.58154 41.654676),82,SCOTT,1701100,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,15.59,23.39,12,280.68,9,2.37
INV-18173700005,03/18/2019,5709,JW LIQUOR,4518 MORTONSEN STREET SUITE #109,AMES,50014,,85,STORY,1031100,AMERICAN VODKAS,380,PHILLIPS BEVERAGE,37336,UV VODKA,12,750,6.5,9.75,4,39,3,0.79
INV-18249100024,03/20/2019,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010,POINT (-93.618911 42.022854),85,STORY,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10826,CROWN ROYAL XO,12,750,24.99,37.49,2,74.98,1.5,0.39
INV-18029600022,03/11/2019,5709,JW LIQUOR,4518 MORTONSEN STREET SUITE #109,AMES,50014,,85,STORY,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,27410,JIM BEAM HONEY,12,750,10.5,15.75,3,47.25,2.25,0.59
INV-18447700021,03/29/2019,3443,SUPER SAVER IV,1141 N BROADWAY,COUNCIL BLUFFS,51503,POINT (-95.836515 41.270824),78,POTTAWATTAMIE,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,300,7.35,11.03,2,22.06,0.6,0.15
INV-18325000102,03/25/2019,2191,KEOKUK SPIRITS,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,LEE,1062400,SPICED RUM,259,HEAVEN HILL BRANDS,43022,ADMIRAL NELSON SPICED RUM MINI,12,500,3.78,5.67,1,5.67,0.5,0.13
