Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-14210900003,09/04/2018,4617,LICKETY LIQUOR,2501 HUBBELL AVE,DES MOINES,50317,POINT (-93.570489 41.607817),77,POLK,1011400,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LBL,12,750,15.57,23.36,4,93.44,3,0.79
INV-19229700001,05/08/2019,3477,SAM'S CLUB 6472 / COUNCIL BLUFFS,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78,POTTAWATTAMIE,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48122,HENNESSY XO,12,750,99.99,149.99,1,149.99,0.75,0.19
INV-19459200063,05/20/2019,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1062400,SPICED RUM,260,DIAGEO AMERICAS,43285,CAPTAIN MORGAN ORIGINAL SPICED RUM PET,12,750,9.06,13.59,24,326.16,18,4.75
INV-19177900022,05/06/2019,4162,FAREWAY STORES #963 / CEDAR RAPIDS,4220  16TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.726726 41.963791),57,LINN,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23828,FIVE STAR,6,1750,7.62,11.43,6,68.58,10.5,2.77
INV-18278900013,03/21/2019,3670,WAL-MART 2827 / CORALVILLE,2801 COMMERCE DR,CORALVILLE,52241,POINT (-91.610774 41.695806),52,JOHNSON,1031100,AMERICAN VODKAS,255,INFINIUM SPIRITS,37888,SEAGRAMS EXTRA SMOOTH VODKA,6,1750,10,15,6,90,10.5,2.77
INV-18078000052,03/12/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34014,ABSOLUT APEACH,12,750,11.49,17.24,4,68.96,3,0.79
INV-18331900020,03/25/2019,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,POLK,1032100,IMPORTED VODKAS,35,BACARDI USA INC,34422,GREY GOOSE,6,1000,22.5,33.75,60,2025,60,15.85
INV-18163500016,03/15/2019,2178,DOUBLE D LIQUOR STORE,618 ROSSVILLE ROAD,WAUKON,52172,POINT (-91.473634 43.262114),3,ALLAMAKEE,1031100,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6,1750,7.17,10.76,18,193.68,31.5,8.32
INV-18387000031,03/27/2019,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1032100,IMPORTED VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.25,12.38,12,148.56,9,2.37
INV-18294000019,03/22/2019,5325,HOMETOWN FOODS / HUBBARD,210 E. MAPLE ST,HUBBARD,50122,POINT (-93.298266 42.305556),42,HARDIN,1031100,AMERICAN VODKAS,434,LUXCO INC,36307,HAWKEYE VODKA,12,1000,4.05,6.08,12,72.96,12,3.17
INV-18086200053,03/12/2019,2587,HY-VEE FOOD STORE / JOHNSTON,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,POLK,1031100,AMERICAN VODKAS,380,PHILLIPS BEVERAGE,37356,PHILLIPS VODKA,12,750,3.57,5.36,12,64.32,9,2.37
INV-18132400001,03/14/2019,4638,GD XPRESS / DAVENPORT,4607 N PINE ST,DAVENPORT,52804,,82,SCOTT,1032100,IMPORTED VODKAS,255,INFINIUM SPIRITS,34122,CRYSTAL HEAD VODKA,6,750,23.32,34.98,2,69.96,1.5,0.39
INV-18410300044,03/28/2019,2567,HY-VEE DRUGSTORE / DAVENPORT,2200 WEST KIMBERLY,DAVENPORT,52806,POINT (-90.608201 41.560663),82,SCOTT,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19,28.5,12,342,21,5.54
INV-18069700051,03/12/2019,5527,LIQUOR DOWNTOWN,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,JOHNSON,1032100,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,11.49,17.24,6,103.44,4.5,1.18
INV-18305800018,03/22/2019,3987,WINE AND SPIRITS SHOPPE OF,111 S PHILLIPS ST,ALGONA,50511,POINT (-94.226874 43.068382),55,KOSSUTH,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35918,FIVE O'CLOCK VODKA,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-18281300037,03/21/2019,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1031200,AMERICAN FLAVORED VODKA,380,PHILLIPS BEVERAGE,39770,UV CAKE MINI,12,500,4.4,6.6,3,19.8,1.5,0.39
INV-17999200011,03/07/2019,4371,KUM & GO #50 / WEST DES MOINES,745 S 51ST ST,WEST DES MOINES,50265,POINT (-93.77275 41.55871),77,POLK,1062400,SPICED RUM,260,DIAGEO AMERICAS,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,9.06,13.59,8,108.72,6,1.58
INV-18326100007,03/25/2019,4898,BURLINGTON SHELL,"130, S ROOSEVELT AVE",BURLINGTON,52601,POINT (-91.140986 40.808239),29,DES MOINES,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35914,FIVE O'CLOCK VODKA,24,375,1.93,2.9,24,69.6,9,2.37
INV-17905900047,03/04/2019,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1032200,IMPORTED FLAVORED VODKA,115,CONSTELLATION BRANDS INC,36576,SVEDKA BLUE RASPBERRY,12,750,8.25,12.38,12,148.56,9,2.37
INV-18041000031,03/11/2019,4910,PRIME MART #3 / WATERLOO,1008 LAPORTE RD,WATERLOO,50702,POINT (-92.322988 42.47658),7,BLACK HAWK,1031100,AMERICAN VODKAS,260,DIAGEO AMERICAS,37993,SMIRNOFF 80PRF,48,200,2.54,3.81,48,182.88,9.6,2.53
INV-18319000064,03/25/2019,2538,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,POINT (-92.327917 42.459938),7,BLACK HAWK,1031200,AMERICAN FLAVORED VODKA,300,MCCORMICK DISTILLING CO.,39671,360 LIME,12,750,7,10.5,2,21,1.5,0.39
INV-18072100162,03/12/2019,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,LINN,1031100,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,12,60.12,9,2.37
INV-21228600173,08/14/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1081100,COFFEE LIQUEURS,421,SAZERAC COMPANY  INC,67586,KAPALI COFFEE LIQUEUR,12,750,5.72,8.58,4,26.36,3,0.79
INV-22328200069,10/04/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1031200,AMERICAN FLAVORED VODKA,259,HEAVEN HILL BRANDS,41299,BURNETTS CHERRY,12,750,4.5,6.75,3,20.16,2.25,0.59
INV-23421000013,11/23/2019,3868,WAL-MART 3630 / MARION,5491 BUSINESS HWY 151,MARION,52302,,57,LINN,1042100,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28890,TANQUERAY RANGPUR GIN,12,750,13.01,19.52,12,234.24,9,2.37
INV-22582800022,10/16/2019,5257,MAD AVE QUIK SHOP,"405, MADISON AVE",OTTUMWA,52501,,90,WAPELLO,1022200,100% AGAVE TEQUILA,240,WILLIAM GRANT & SONS INC,88116,MILAGRO SILVER,6,750,16.5,24.75,2,49.5,1.5,0.39
INV-23348300062,11/20/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1032100,IMPORTED VODKAS,421,SAZERAC COMPANY  INC,34368,FRIS DANISH VODKA,6,1750,8.49,12.74,6,76.44,10.5,2.77
INV-23346600155,11/20/2019,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,POLK,1062100,GOLD RUM,35,BACARDI USA INC,43618,BACARDI ANEJO CUATRO,12,750,9.99,14.99,12,179.88,9,2.37
INV-18212400042,03/19/2019,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812  S 1ST AVE,IOWA CITY,52240,,52,JOHNSON,1011400,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.57,23.36,24,560.64,18,4.75
INV-21147500016,08/09/2019,3857,QUILLINS FOOD RANCH / WAUKON,9TH ST SW B,WAUKON,52172,,3,ALLAMAKEE,1011200,STRAIGHT BOURBON WHISKIES,55,SAZERAC NORTH AMERICA,21598,TEN HIGH,6,1750,9.24,13.86,6,77.22,10.5,2.77
INV-21440900141,08/23/2019,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,LINN,1062400,SPICED RUM,260,DIAGEO AMERICAS,1799,CAPTAIN MORGAN SPICED BARREL,6,1750,18,27,300,8100,525,138.69
INV-21289700042,08/16/2019,3868,WAL-MART 3630 / MARION,5491 BUSINESS HWY 151,MARION,52302,,57,LINN,1062400,SPICED RUM,260,DIAGEO AMERICAS,43337,CAPTAIN MORGAN SPICED RUM,12,1000,11.75,17.63,12,211.56,12,3.17
INV-21255200001,08/15/2019,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,,77,POLK,1031100,AMERICAN VODKAS,260,DIAGEO AMERICAS,37994,SMIRNOFF 80PRF,24,375,4.75,7.13,24,171.12,9,2.37
INV-21685400009,09/04/2019,5004,IDA GROVE FOOD PRIDE,200 SUSAN LAWRENCE DR,IDA GROVE,51445,,47,IDA,1071100,COCKTAILS/RTD,395,PROXIMO,58838,JOSE CUERVO AUTHENTIC LIME MARGARITA,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-22263400080,10/02/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,36769,ABSOLUT GRAPEFRUIT,12,750,9.99,14.99,3,51.72,2.25,0.59
INV-21266800020,08/15/2019,2478,PRAIRIE MEADOWS,ONE PRAIRIE MEADOWS DRIVE,ALTOONA,50009,,77,POLK,1032100,IMPORTED VODKAS,260,DIAGEO AMERICAS,36871,CIROC 80PRF,12,750,16.49,24.74,2,49.48,1.5,0.39
INV-21228300089,08/14/2019,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,,77,POLK,1081200,CREAM LIQUEURS,305,MHW LTD,80487,TIPPY COW VANILLA SOFT SERVE,6,750,10,15,6,90,4.5,1.18
INV-21346200003,08/20/2019,3993,NEW STAR LIQUOR / W 4TH S / WATERLOO,1625 WEST 4TH ST,WATERLOO,50701,,7,BLACK HAWK,1031100,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6,1750,7.17,10.76,6,64.56,10.5,2.77
INV-21306300038,08/16/2019,2459,REINHART FOODS,200 STATE PO BOX 98,GUTHRIE CENTER,50115,,39,GUTHRIE,1012100,CANADIAN WHISKIES,55,SAZERAC NORTH AMERICA,12404,CANADIAN LTD WHISKY,24,375,2.05,3.08,2,6.16,0.75,0.19
INV-21296300020,08/16/2019,2566,HY-VEE FOOD STORE / KNOXVILLE,813 N LINCOLN STE 1,KNOXVILLE,50138,,63,MARION,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35913,FIVE O'CLOCK VODKA,48,200,1.13,1.7,4,6.8,0.8,0.21
INV-21376100014,08/21/2019,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,,77,POLK,1062500,FLAVORED RUM,35,BACARDI USA INC,43136,BACARDI LIMON,12,750,8.26,12.39,1,12.39,0.75,0.19
INV-22228800125,10/01/2019,2535,HY-VEE FOOD STORE #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,,77,POLK,1062500,FLAVORED RUM,35,BACARDI USA INC,43051,BACARDI DRAGON BERRY,12,750,8.26,12.39,3,37.17,2.25,0.59
INV-21390300028,08/21/2019,5257,MAD AVE QUIK SHOP,"405, MADISON AVE",OTTUMWA,52501,,90,WAPELLO,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34015,ABSOLUT APEACH,12,1000,14.99,22.49,2,44.98,2,0.52
INV-21258700020,08/15/2019,5098,BEST FOOD MART 3  LLC,1621 UNIVERSITY AVE,DES MOINES,50311,,77,POLK,1012200,SCOTCH WHISKIES,266,EDRINGTON GROUP USA LLC,4796,CUTTY SARK SCOTCH,12,750,7.43,11.15,2,22.3,1.5,0.39
INV-21358900032,08/20/2019,3705,LIQUOR LOCKER,507 1ST AVE #100,ROCK RAPIDS,51246,,60,LYON,1011200,STRAIGHT BOURBON WHISKIES,55,SAZERAC NORTH AMERICA,21597,TEN HIGH,12,1000,4.94,7.41,4,29.64,4,1.05
INV-21224800046,08/14/2019,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,POLK,1031100,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,37413,POPOV 80PRF,48,200,1.75,2.63,8,21.04,1.6,0.42
INV-21251700028,08/15/2019,5709,JW LIQUOR,4518 MORTONSEN STREET SUITE #109,AMES,50014,,85,STORY,1032100,IMPORTED VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.25,12.38,6,74.28,4.5,1.18
INV-21206600002,08/13/2019,4255,FAREWAY STORES #058 / ORANGE CITY,512  8TH SE,ORANGE CITY,51041,,84,SIOUX,1022200,100% AGAVE TEQUILA,461,SKYY SPIRITS INC,89139,CABO WABO REPOSADO,6,750,21.5,32.25,1,32.25,0.75,0.19
INV-21216600064,08/13/2019,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812  S 1ST AVE,IOWA CITY,52240,,52,JOHNSON,1031100,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,12,33.48,4.5,1.18
INV-21287900023,08/16/2019,5459,CASEY'S GENERAL STORE #1653 / CORNING,204 6TH ST,CORNING,50841,,2,ADAMS,1081400,AMERICAN SCHNAPPS,55,SAZERAC NORTH AMERICA,84143,99 CINNAMON MINI,10,50,6,9,10,90,0.5,0.13
INV-21151600023,08/09/2019,2549,HY-VEE FOOD STORE / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125,,91,WARREN,1031100,AMERICAN VODKAS,255,INFINIUM SPIRITS,37888,SEAGRAMS EXTRA SMOOTH VODKA,6,1750,10,15,6,90,10.5,2.77
INV-21159300094,08/12/2019,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,,77,POLK,1081100,COFFEE LIQUEURS,370,PERNOD RICARD USA,67522,KAHLUA COFFEE MINI,12,50,6.6,9.9,1,9.9,0.05,0.01
INV-21228300059,08/14/2019,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,,77,POLK,1062200,WHITE RUM,35,BACARDI USA INC,43388,CASTILLO SILVER RUM,6,1750,8.33,12.5,6,75,10.5,2.77
INV-21296300019,08/16/2019,2566,HY-VEE FOOD STORE / KNOXVILLE,813 N LINCOLN STE 1,KNOXVILLE,50138,,63,MARION,1031100,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,35314,BARTON VODKA,24,375,1.71,2.57,24,61.68,9,2.37
INV-21292800013,08/16/2019,4684,INDY 66 #928 / INDIANOLA,1201 N JEFFERSON,INDIANOLA,50125,,91,WARREN,1031100,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,35315,BARTON VODKA PET,12,750,3.37,5.06,12,60.72,9,2.37
INV-21073500070,08/06/2019,2643,HY-VEE WINE AND SPIRITS / WATERLOO,2126 KIMBALL AVE,WATERLOO,50701,,7,BLACK HAWK,1062500,FLAVORED RUM,35,BACARDI USA INC,43136,BACARDI LIMON,12,750,8.26,12.39,3,37.17,2.25,0.59
INV-21204400021,08/13/2019,5151,IDA LIQUOR,"500, HWY 175",IDA GROVE,51445,,47,IDA,1081400,AMERICAN SCHNAPPS,65,JIM BEAM BRANDS,82866,DEKUYPER WATERMELON PUCKER,12,750,6.5,9.75,4,39,3,0.79
INV-21328700003,08/19/2019,5359,FAREWAY STORES #168/ PEOSTA,8400 NICC DRIVE,PEOSTA,52068,,31,DUBUQUE,1011100,BLENDED WHISKIES,65,JIM BEAM BRANDS,24456,KESSLER BLEND WHISKEY,12,750,5.51,8.27,12,99.24,9,2.37
INV-21322400044,08/19/2019,2200,SAC LIQUOR STORE,619 E MAIN ST,SAC CITY,50583,POINT (-94.974011 42.421341),81,SAC,1081200,CREAM LIQUEURS,305,MHW LTD,73053,RUMCHATA,6,1000,16.34,24.51,2,49.02,2,0.52
INV-21230100005,08/14/2019,5636,BIG DISCOUNT LIQUOR,5427  CENTER POINT RD,CEDAR RAPIDS,52402,,57,LINN,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10809,CROWN ROYAL REGAL APPLE,6,1750,31.99,47.99,1,47.99,1.75,0.46
INV-21350600054,08/20/2019,5151,IDA LIQUOR,"500, HWY 175",IDA GROVE,51445,,47,IDA,1011100,BLENDED WHISKIES,434,LUXCO INC,23277,CALVERT EXTRA BL WHISKEY,12,1000,6.88,10.32,4,41.28,4,1.05
INV-21584800055,08/29/2019,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,,77,POLK,1062200,WHITE RUM,35,BACARDI USA INC,43386,CASTILLO SILVER RUM,12,750,4.16,6.24,12,74.88,9,2.37
INV-21151200025,08/09/2019,2459,REINHART FOODS,200 STATE PO BOX 98,GUTHRIE CENTER,50115,,39,GUTHRIE,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86888,SOUTHERN COMFORT PET,6,1750,20.26,30.39,1,30.39,1.75,0.46
INV-21335300003,08/19/2019,4962,HILLTOP GROCERY,1312 HARRISON ST,DAVENPORT,52803,,82,SCOTT,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48105,HENNESSY VS,12,375,10.74,16.11,24,386.64,9,2.37
INV-21329500020,08/19/2019,5637,CATFISH CHARLIE'S,1630 EAST 16TH ST,DUBUQUE,52001,,31,DUBUQUE,1022100,MIXTO TEQUILA,434,LUXCO INC,87937,JUAREZ TEQUILA SILVER,12,1000,7.83,11.75,36,423,36,9.51
INV-21357200007,08/20/2019,4255,FAREWAY STORES #058 / ORANGE CITY,512  8TH SE,ORANGE CITY,51041,,84,SIOUX,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19,28.5,6,171,10.5,2.77
INV-21078200093,08/06/2019,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812  S 1ST AVE,IOWA CITY,52240,,52,JOHNSON,1062100,GOLD RUM,35,BACARDI USA INC,43034,BACARDI GOLD,24,375,4.5,6.75,4,27,1.5,0.39
INV-21270600015,08/16/2019,4169,SUPER QUICK 2 / HUBBELL,1824 HUBBELL AVE,DES MOINES,50317,,77,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86883,SOUTHERN COMFORT,48,200,2.64,3.96,8,31.68,1.6,0.42
INV-21151500008,08/09/2019,4684,INDY 66 #928 / INDIANOLA,1201 N JEFFERSON,INDIANOLA,50125,,91,WARREN,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23828,FIVE STAR,6,1750,7.62,11.43,6,68.58,10.5,2.77
INV-21189800021,08/13/2019,4638,GD XPRESS / DAVENPORT,4607 N PINE ST,DAVENPORT,52804,,82,SCOTT,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38180,TITOS HANDMADE MINI,5,50,12.8,19.2,1,19.2,0.05,0.01
INV-21141300047,08/09/2019,3868,WAL-MART 3630 / MARION,5491 BUSINESS HWY 151,MARION,52302,,57,LINN,1062500,FLAVORED RUM,370,PERNOD RICARD USA,42717,MALIBU COCONUT RUM,12,1000,10.99,16.49,12,197.88,12,3.17
INV-21297100089,08/16/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1051100,AMERICAN BRANDIES,205,E & J GALLO WINERY,52563,E & J XO,12,750,8.24,12.36,2,24.72,1.5,0.39
INV-23319300003,11/19/2019,3993,NEW STAR LIQUOR / W 4TH S / WATERLOO,1625 WEST 4TH ST,WATERLOO,50701,,7,BLACK HAWK,1062500,FLAVORED RUM,35,BACARDI USA INC,43136,BACARDI LIMON,12,750,8.26,12.39,2,24.78,1.5,0.39
INV-23339800012,11/19/2019,5286,SAUCE,"108, COLLEGE",IOWA CITY,52240,,52,JOHNSON,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38177,TITOS HANDMADE VODKA,12,1000,12.67,19.01,12,228.12,12,3.17
INV-23562900023,11/29/2019,5057,KUM & GO #535 / DES MOINES,4960 E BROADWAY AVE,DES MOINES,50317,,77,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,10,27.9,3.75,0.99
INV-23623800010,12/03/2019,2535,HY-VEE FOOD STORE #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,,77,POLK,1031100,AMERICAN VODKAS,229,DEHNER DISTILLERY,36873,BLUE OX VODKA,12,750,3.2,4.8,12,57.6,9,2.37
INV-23557800001,11/29/2019,5135,FAREWAY STORES #155 / HUXLEY,911 HWY 69,HUXLEY,50124,,85,STORY,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64866,FIREBALL CINNAMON WHISKEY,12,750,9,13.5,24,324,18,4.75
INV-23577300166,11/29/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86887,SOUTHERN COMFORT,12,1000,12.97,19.46,24,467.04,24,6.34
INV-23413700001,11/23/2019,5338,KUM & GO #539/ NW 2ND AVE,5050 NW 2ND AVE,DES MOINES,50313,,77,POLK,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,10.45,15.68,6,94.08,10.5,2.77
INV-22267900014,10/02/2019,5636,BIG DISCOUNT LIQUOR,5427  CENTER POINT RD,CEDAR RAPIDS,52402,,57,LINN,1041100,AMERICAN DRY GINS,370,PERNOD RICARD USA,32238,SEAGRAMS EXTRA DRY GIN,6,1750,12.49,18.74,1,18.74,1.75,0.46
INV-23544800055,11/27/2019,5257,MAD AVE QUIK SHOP,"405, MADISON AVE",OTTUMWA,52501,,90,WAPELLO,1071100,COCKTAILS/RTD,434,LUXCO INC,63530,SALVADORS ORIGINAL MARGARITA PET,6,1750,6,9,6,54,10.5,2.77
INV-23357800176,11/20/2019,2625,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,,82,SCOTT,1081200,CREAM LIQUEURS,305,MHW LTD,73053,RUMCHATA,6,1000,16.34,24.51,24,588.24,24,6.34
INV-22633600008,10/18/2019,4732,WALGREENS #07967 / CLIVE,15601 HICKMAN RD,CLIVE,50325,,77,POLK,1011200,STRAIGHT BOURBON WHISKIES,55,SAZERAC NORTH AMERICA,21598,TEN HIGH,6,1750,8.58,12.87,6,83.16,10.5,2.77
INV-23507900011,11/26/2019,3705,LIQUOR LOCKER,507 1ST AVE #100,ROCK RAPIDS,51246,,60,LYON,1062500,FLAVORED RUM,35,BACARDI USA INC,43137,BACARDI LIMON,12,1000,9.5,14.25,12,171,12,3.17
INV-23343700045,11/19/2019,5390,PG MINI MART,800 HAMILTON BLVD.,SIOUX CITY,51104,,97,WOODBURY,1022100,MIXTO TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,24,198,9,2.37
INV-24007200051,12/18/2019,2625,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,,82,SCOTT,1081200,CREAM LIQUEURS,305,MHW LTD,73052,RUMCHATA,12,375,7.5,11.25,3,33.75,1.12,0.29
INV-23585800019,11/30/2019,4684,INDY 66 #928 / INDIANOLA,1201 N JEFFERSON,INDIANOLA,50125,,91,WARREN,1062200,WHITE RUM,35,BACARDI USA INC,43123,BACARDI SUPERIOR,48,200,2.5,3.75,48,180,9.6,2.53
INV-22263400053,10/02/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1042100,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28890,TANQUERAY RANGPUR GIN,12,750,13.01,19.52,12,234.24,9,2.37
INV-23587200099,11/30/2019,2551,HY-VEE FOOD STORE / CHARITON,2001 WEST COURT,CHARITON,50049,,59,LUCAS,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23823,FIVE STAR,48,200,1.31,1.97,5,9.85,1,0.26
INV-23625100030,12/03/2019,4638,GD XPRESS / DAVENPORT,4607 N PINE ST,DAVENPORT,52804,,82,SCOTT,1062200,WHITE RUM,35,BACARDI USA INC,43121,BACARDI SUPERIOR MINI,12,50,5.54,8.31,1,8.31,0.05,0.01
INV-22541900021,10/15/2019,4014,WAL-MART 1732 / DENISON,510 C AVE,DENISON,51442,,24,CRAWFORD,1012100,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,24,110.64,9,2.37
INV-23625100020,12/03/2019,4638,GD XPRESS / DAVENPORT,4607 N PINE ST,DAVENPORT,52804,,82,SCOTT,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36886,MCCORMICK 80PRF VODKA,12,750,3.31,4.97,12,59.64,9,2.37
INV-22552100018,10/15/2019,3705,LIQUOR LOCKER,507 1ST AVE #100,ROCK RAPIDS,51246,,60,LYON,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35918,FIVE O'CLOCK VODKA,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-23578700046,11/29/2019,3857,QUILLINS FOOD RANCH / WAUKON,9TH ST SW B,WAUKON,52172,,3,ALLAMAKEE,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,4,31.4,3,0.79
INV-22562800055,10/15/2019,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812  S 1ST AVE,IOWA CITY,52240,,52,JOHNSON,1031100,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,35316,BARTON VODKA,12,750,3.37,5.06,12,60.72,9,2.37
